instruction,image_url
Pick up the Green Block that is the middle of a group of three Green Blocks located on your right.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_8_v1.png
"Stand up, walk the the side of the table that's on your left, and pick up the green block closest to you.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v2.png
"Move the green block out of the way, pull the yellow block toward you, and scoop it off the table.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v1.png
Pick the blue block that is farthest from you and right above the orange block,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v1.png
"From the left, and looking right, pick up the first purple block that you see. This block is also the closest purple block near you.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_7_v1.png
Pick up the green block that is on your left side and is the third closest to you,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v1.png
Pick up the green block closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_3_v1.png
Pick up the Green Block that is completely separated from the three other Green Blocks.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_9_v1.png
Pick up the green block that is nearest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_1_v2.png
Please pick up the green block that is closest to you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_1_v2.png
pick up right arm and pick up block second to the left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v1.png
"In the group of three grouped purple blocks on your left, pick the one closest to center.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_2_v2.png
Pick up the orange block furthest to your left.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_10_v1.png
pick the highest blue block,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_12_v2.png
the only yellow block on the table,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_1_v1.png
Pick up the green block that has a yellow block below it and a brown block above it.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
There's a row of three green blocks with a blue on one end and yellow on the other. Pick up the middle green.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_8_v1.png
"Pick up the green block that's right next to an orange block, but not right next to a blue block.",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_6_v2.png
Pick up the orange block that is farthest from you.,https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_5_v1.png
"pick the second yellow block, from the left",https://raw.githubusercontent.com/dulangaweerakoon/images_mturk_pickplace/master/dist1/Configuration_11_v1.png
